Unnamed: 0,TimeStamp,PART_FACT_PLAN_DATE,PART_NAME,EQUIP_NAME,ERR_FACT_QTY,Injection_Time,Filling_Time,Plasticizing_Time,Cycle_Time,Clamp_Close_Time,Cushion_Position,Switch_Over_Position,Plasticizing_Position,Clamp_Open_Position,Max_Injection_Speed,Max_Screw_RPM,Average_Screw_RPM,Max_Injection_Pressure,Max_Switch_Over_Pressure,Max_Back_Pressure,Average_Back_Pressure,Barrel_Temperature_1,Barrel_Temperature_2,Barrel_Temperature_3,Barrel_Temperature_4,Barrel_Temperature_5,Barrel_Temperature_6,Hopper_Temperature,Mold_Temperature_3,Mold_Temperature_4
148671,2020-04-02 05:01:34,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.11,2.99,16.52,68.21,7.08,653.62,0.0,66.19,647.99,78.7,30.7,292.6,134.8,114.5,21.9,14.3,271.5,275.5,275.1,270.6,264.5,240.1,59.1,24.8,26.6
149627,2020-04-02 07:56:32,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.17,3.06,17.88,68.3,7.08,653.57,0.0,66.55,647.99,76.9,30.8,293.0,135.1,116.5,22.1,53.0,272.3,275.4,275.6,269.8,265.5,240.2,59.0,23.6,24.5
149994,2020-04-02 09:06:10,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.11,2.99,17.61,68.17,7.08,653.58,0.0,66.07,647.99,77.8,30.7,292.9,135.0,115.8,23.0,53.3,271.7,274.7,274.8,269.4,265.3,239.9,59.2,23.3,27.5
150017,2020-04-02 09:10:44,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.08,2.97,17.46,68.24,7.09,653.6,0.0,65.86,647.99,78.0,30.8,292.8,135.0,115.7,22.6,53.2,271.6,274.7,274.9,270.0,265.0,239.7,59.1,23.5,24.7
150169,2020-04-02 09:41:24,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.09,2.97,17.59,68.2,7.08,653.59,0.0,65.95,647.99,78.1,30.7,292.9,134.8,116.8,22.7,53.2,270.5,274.6,274.5,270.1,264.4,240.0,59.2,23.3,28.3
151134,2020-04-02 13:53:53,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.08,2.97,17.52,68.2,7.08,653.61,0.0,65.96,647.99,78.1,30.7,292.9,134.8,116.1,22.5,53.1,270.8,275.7,275.0,269.7,265.5,239.5,58.6,24.1,25.0
151224,2020-04-02 14:21:10,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.08,2.97,17.55,68.24,7.08,653.59,0.0,65.96,647.99,78.1,30.7,292.8,134.8,116.2,22.9,53.2,271.1,275.5,275.0,269.9,265.0,239.6,59.4,23.2,29.9
151494,2020-04-02 15:43:01,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.1,2.98,17.56,68.2,7.08,653.59,0.0,65.97,647.99,77.9,30.8,292.9,134.9,115.7,23.2,53.4,272.1,275.0,275.5,270.0,265.0,240.1,58.8,23.4,26.9
151941,2020-04-02 17:58:20,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.09,2.98,17.5,68.22,7.08,653.6,0.0,65.97,647.99,77.8,30.7,292.8,134.9,115.5,22.7,53.2,272.0,274.9,275.1,270.4,265.8,239.7,59.2,21.8,22.7
152265,2020-04-02 19:37:15,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.08,2.96,17.57,68.2,7.08,653.6,0.0,65.96,647.99,78.2,30.6,292.8,134.7,116.1,22.5,53.1,271.3,274.7,275.0,270.0,265.4,240.2,58.9,22.6,25.0
152451,2020-04-02 20:34:08,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.09,2.98,17.52,68.24,7.08,653.6,0.0,65.97,647.99,78.0,30.5,292.8,134.9,115.5,22.9,53.3,271.7,275.3,275.6,270.0,265.2,240.1,59.0,22.3,23.3
152496,2020-04-02 20:47:46,2020-04-01 오전 12:00:00,CN7 W/S SIDE MLD'G LH,650톤-우진2호기,96,10.09,2.98,17.56,68.22,7.08,653.6,0.0,65.98,647.99,78.0,30.6,292.9,135.0,115.4,22.7,53.2,271.5,275.3,274.8,270.1,265.0,240.3,59.0,23.2,25.2
