Unnamed: 0,TimeStamp,PART_FACT_PLAN_DATE,PART_NAME,EQUIP_NAME,ERR_FACT_QTY,Injection_Time,Filling_Time,Plasticizing_Time,Cycle_Time,Clamp_Close_Time,Cushion_Position,Switch_Over_Position,Plasticizing_Position,Clamp_Open_Position,Max_Injection_Speed,Max_Screw_RPM,Average_Screw_RPM,Max_Injection_Pressure,Max_Switch_Over_Pressure,Max_Back_Pressure,Average_Back_Pressure,Barrel_Temperature_1,Barrel_Temperature_2,Barrel_Temperature_3,Barrel_Temperature_4,Barrel_Temperature_5,Barrel_Temperature_6,Hopper_Temperature,Mold_Temperature_3,Mold_Temperature_4
119515,2020-03-25 23:56:49,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.2,3.4,18.8,18.8,40.5,522.2,38.6,0.0,0.0,80.7,70.0,5.2,0.0,0.0,264.9,269.9,270.0,259.9,240.1,58.8,0.0,0.0
119547,2020-03-26 00:09:54,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.2,3.4,18.8,18.8,40.5,522.2,38.7,0.0,0.0,80.7,69.8,5.3,0.0,0.0,264.8,269.8,269.9,259.8,240.0,59.0,0.0,0.0
119618,2020-03-26 00:36:05,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.8,39.2,3.4,18.7,18.8,40.5,522.2,38.7,0.0,0.0,80.7,70.0,5.1,0.0,0.0,265.3,269.9,269.9,260.1,239.9,59.0,0.0,0.0
119781,2020-03-26 01:22:34,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.2,3.4,18.8,18.8,40.5,522.2,39.0,0.0,0.0,80.8,69.9,5.2,0.0,0.0,264.8,269.9,269.8,259.8,239.7,59.2,0.0,0.0
120044,2020-03-26 02:44:22,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.2,3.4,18.8,18.8,40.5,522.2,40.4,0.0,0.0,80.7,69.6,5.3,0.0,0.0,264.8,269.9,270.0,259.9,240.1,59.4,0.0,0.0
120325,2020-03-26 04:28:27,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.2,3.4,18.8,18.8,40.5,522.2,40.4,0.0,0.0,80.8,69.9,5.2,0.0,0.0,264.8,269.8,269.9,260.1,240.0,60.1,0.0,0.0
121101,2020-03-26 08:39:12,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.3,3.4,18.8,18.9,40.5,522.2,38.5,0.0,0.0,80.6,69.8,5.3,0.0,0.0,264.8,270.0,270.0,259.8,239.9,60.0,0.0,0.0
121202,2020-03-26 09:10:37,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.2,3.4,18.8,18.8,40.5,522.2,40.5,0.0,0.0,80.7,70.0,5.2,0.0,0.0,265.0,270.0,270.0,259.8,240.0,60.2,0.0,0.0
121252,2020-03-26 09:26:19,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.2,3.4,18.8,18.9,40.5,522.3,39.4,0.0,0.0,80.7,70.0,5.3,0.0,0.0,264.7,269.8,269.8,259.9,239.9,60.1,0.0,0.0
121379,2020-03-26 10:04:57,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.2,3.4,18.8,18.8,40.5,522.2,40.4,0.0,0.0,80.6,70.0,5.3,0.0,0.0,264.9,270.0,269.9,260.2,239.9,60.0,0.0,0.0
121672,2020-03-26 11:45:48,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.2,3.4,18.8,18.8,40.5,522.2,38.9,0.0,0.0,80.7,70.2,5.2,0.0,0.0,264.9,269.8,269.8,260.0,240.0,60.0,0.0,0.0
122107,2020-03-26 15:15:29,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.8,39.2,3.4,18.8,18.9,40.5,522.2,41.2,0.0,0.0,80.8,70.0,5.3,0.0,0.0,265.1,269.8,269.8,259.8,239.9,60.5,0.0,0.0
122210,2020-03-26 15:59:16,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.8,39.1,3.4,18.8,18.9,40.5,522.2,40.8,0.0,0.0,80.8,70.1,5.3,0.0,0.0,264.9,269.9,270.0,259.9,239.9,60.5,0.0,0.0
122311,2020-03-26 16:43:03,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.2,3.4,18.8,18.8,40.5,522.2,39.1,0.0,0.0,80.9,69.8,5.2,0.0,0.0,264.8,269.9,269.9,260.3,239.9,60.5,0.0,0.0
122775,2020-03-26 20:03:02,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.9,39.2,3.4,18.8,18.9,40.5,522.2,41.4,0.0,0.0,81.0,70.1,5.3,0.0,0.0,264.9,270.1,270.0,260.2,239.8,60.4,0.0,0.0
122833,2020-03-26 20:27:50,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.8,39.1,3.4,18.9,18.9,40.5,522.2,40.5,0.0,0.0,80.9,69.9,5.3,0.0,0.0,264.8,269.9,269.9,260.0,240.0,60.4,0.0,0.0
122943,2020-03-26 21:15:31,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.8,39.1,3.4,18.8,18.8,40.5,522.2,40.3,0.0,0.0,81.0,70.2,5.3,0.0,0.0,265.0,270.0,270.1,259.9,240.1,60.2,0.0,0.0
122954,2020-03-26 21:20:05,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.8,39.1,3.4,18.8,18.9,40.5,522.2,41.2,0.0,0.0,81.0,69.9,5.2,0.0,0.0,265.1,269.9,269.9,259.8,239.9,60.3,0.0,0.0
123004,2020-03-26 21:41:38,2020-03-26 오전 12:00:00,"RG3 MOLD'G W/SHLD, LH",650톤-우진2호기,43,6.0,6.0,2.8,39.1,3.4,18.8,18.8,40.5,522.3,40.4,0.0,0.0,81.0,70.2,5.3,0.0,0.0,264.8,269.8,269.7,260.2,240.0,60.4,0.0,0.0
